iter	Logloss
0	0.3697297486
1	0.2199644239
2	0.1173379171
3	0.06502771229
4	0.03801175195
5	0.02440704288
6	0.01628573253
7	0.0115421646
8	0.008653914946
9	0.00676022951
10	0.005533474072
11	0.004699136848
12	0.004139401213
13	0.003731447253
14	0.003461977068
15	0.0031665489
16	0.002937073708
17	0.002822080349
18	0.002715195682
19	0.002635543497
20	0.002557955032
21	0.002508090432
22	0.002459785491
23	0.002415939326
24	0.002369140876
25	0.002347188194
26	0.002321758567
27	0.002295510353
28	0.002277581316
29	0.0022667612
30	0.002254192328
31	0.002222366423
32	0.002196914605
33	0.00218053766
34	0.002158707422
35	0.002147817348
36	0.002135598912
37	0.002107100588
38	0.002095189951
39	0.002090228891
40	0.002085105571
41	0.002068628385
42	0.002059161493
43	0.002043817188
44	0.002036489356
45	0.002023309726
46	0.001997732522
47	0.001982036431
48	0.001961761226
49	0.001953712958
50	0.001936085243
51	0.001918159586
52	0.001914432552
53	0.001908402984
54	0.001899866453
55	0.001880796985
56	0.001873574266
57	0.001862544384
58	0.001858465362
59	0.001849958614
60	0.001843980295
61	0.001834153464
62	0.001827990514
63	0.001820928945
64	0.001812782551
65	0.001799064718
66	0.001788663594
67	0.001781627297
68	0.001776499285
69	0.001764032223
70	0.001751064101
71	0.001741367085
72	0.001730212227
73	0.001723961692
74	0.001719908743
75	0.00171065923
76	0.00169504263
77	0.001690167616
78	0.001682752781
79	0.001669695476
80	0.001656066934
81	0.001650846657
82	0.001646766597
83	0.001641184585
84	0.001629782774
85	0.001620041939
86	0.001608446044
87	0.001598121263
88	0.001591177788
89	0.001585149299
90	0.00157976237
91	0.00157473832
92	0.001569454196
93	0.001563511217
94	0.001559582891
95	0.001551980826
96	0.001541818456
97	0.001536132347
98	0.001526791228
99	0.001517322005
